Category: All categories

Month,drones: (Worldwide)
2004-01,2
2004-02,3
2004-03,3
2004-04,2
2004-05,3
2004-06,3
2004-07,3
2004-08,3
2004-09,3
2004-10,5
2004-11,4
2004-12,4
2005-01,3
2005-02,3
2005-03,3
2005-04,3
2005-05,3
2005-06,3
2005-07,2
2005-08,3
2005-09,4
2005-10,3
2005-11,3
2005-12,4
2006-01,4
2006-02,3
2006-03,4
2006-04,3
2006-05,3
2006-06,3
2006-07,3
2006-08,4
2006-09,5
2006-10,4
2006-11,4
2006-12,4
2007-01,4
2007-02,4
2007-03,4
2007-04,4
2007-05,4
2007-06,4
2007-07,4
2007-08,4
2007-09,3
2007-10,3
2007-11,4
2007-12,3
2008-01,4
2008-02,3
2008-03,4
2008-04,3
2008-05,4
2008-06,4
2008-07,3
2008-08,4
2008-09,5
2008-10,5
2008-11,4
2008-12,4
2009-01,4
2009-02,6
2009-03,6
2009-04,6
2009-05,5
2009-06,5
2009-07,6
2009-08,6
2009-09,5
2009-10,6
2009-11,5
2009-12,8
2010-01,7
2010-02,7
2010-03,6
2010-04,5
2010-05,7
2010-06,6
2010-07,6
2010-08,6
2010-09,6
2010-10,6
2010-11,6
2010-12,6
2011-01,6
2011-02,5
2011-03,6
2011-04,9
2011-05,8
2011-06,6
2011-07,6
2011-08,6
2011-09,7
2011-10,9
2011-11,7
2011-12,11
2012-01,7
2012-02,10
2012-03,9
2012-04,9
2012-05,10
2012-06,14
2012-07,10
2012-08,9
2012-09,11
2012-10,15
2012-11,13
2012-12,14
2013-01,17
2013-02,33
2013-03,29
2013-04,22
2013-05,22
2013-06,18
2013-07,17
2013-08,18
2013-09,16
2013-10,16
2013-11,19
2013-12,50
2014-01,23
2014-02,23
2014-03,28
2014-04,27
2014-05,30
2014-06,29
2014-07,34
2014-08,36
2014-09,34
2014-10,36
2014-11,47
2014-12,56
2015-01,44
2015-02,54
2015-03,51
2015-04,46
2015-05,51
2015-06,71
2015-07,54
2015-08,52
2015-09,54
2015-10,56
2015-11,67
2015-12,93
2016-01,61
2016-02,52
2016-03,48
2016-04,49
2016-05,48
2016-06,47
2016-07,49
2016-08,46
2016-09,48
2016-10,50
2016-11,78
2016-12,100
2017-01,63
2017-02,66
